DC1---DC1	p-value: 0.79143
LRPAP1---LRP1	0.000184
APP---LRP1	0.000180
LILRB1---HLA-A	0.000176
LRPAP1---VLDLR	0.000174
CCR1---CCL4	0.000171
ENG---TGFB1	0.000171
COL1A1---ITGA1	0.000169
HLA-A---LILRB1	0.000166
VTN---ITGB1	0.000165
ERBB3---AREG	0.000162
CYR61---ITGAV	0.000159
ITGB1---COL6A2	0.000154
COL6A3---ITGB1	0.000153
ADAM17---ITGB1	0.000151
ADAM9---ITGB1	0.000151
APP---CAV1	0.000150
HLA-E---KLRC2	0.000140
CDH1---ITGAE	0.000136
F11R---ITGAL	0.000136
COL1A1---CD93	0.000134
CHRM3---GZMB	0.000134
ITGB2---CYR61	0.000133
ITGB1---COL3A1	0.000128
ITGB1---COL6A1	0.000128
IGF1R---IGF2	0.000119
LAMA5---BCAM	0.000118
CD24---SELP	0.000114
ITGA5---CYR61	0.000109
TLR4---S100A9	0.000105
JAM3---ITGB2	0.000103
ANXA1---FPR2	0.000101
GPR37---PSAP	0.000101
SPINT1---ST14	0.000098
FBN1---ITGA5	0.000090
ACVR1---TGFB1	0.000089
ITGB1---ADAM17	0.000084
ITGB1---LGALS3BP	0.000084
CAV1---HRAS	0.000083
SEMA7A---ITGB1	0.000082
LRP2---LRPAP1	0.000081
EGFR---EFEMP1	0.000079
IGF2R---IGF2	0.000079
FLT1---VEGFA	0.000079
CALCRL---ADM	0.000078
F13A1---ITGB1	0.000074
GNAI2---FPR1	0.000070
CTGF---ITGA5	0.000068
GNAS---VIPR1	0.000067
LILRB2---HLA-B	0.000063
PLD2---ARF1	0.000063
LGALS9---CD44	0.000060
LRP1---SERPINE2	0.000059
LRP2---MDK	0.000055
CD14---ITGA4	0.000053
CYR61---ITGA5	0.000051
TLR4---S100A8	0.000039
THBD---HMGB1	0.000038
FPR1---GNAI2	0.000036

VCT---VCT	q-value: 0

Ligand---Receptor	contribution
ITGB1---SPP1	0.179202
SPP1---ITGB1	0.172781
ITGA5---SPP1	0.067076
SPP1---ITGA5	0.053477
SPP1---CD44	0.038092
CD44---SPP1	0.034468
TIMP1---CD63	0.012933
ITGAV---SPP1	0.011191
CD63---TIMP1	0.010551
FN1---ITGB1	0.010284
SPP1---ITGAV	0.009722
COL1A1---CD36	0.009023
PGF---FLT1	0.008863
S1PR1---SPP1	0.008713
CD14---ITGB1	0.008335
COL1A2---CD36	0.007412
ITGB1---CD14	0.007215
ITGB1---FN1	0.007143
FLT1---PGF	0.006619
APLP2---HLA-A	0.005182
SPP1---S1PR1	0.005087
FN1---ITGA5	0.004905
HLA-A---APLP2	0.004403
EGFR---ANXA1	0.004344
COL1A1---ITGB1	0.004235
HSP90AA1---EGFR	0.004199
EGFR---HSP90AA1	0.004193
COL3A1---ITGB1	0.004132
ITGA5---FN1	0.003927
ITGB1---FBLN1	0.003926
ANXA1---EGFR	0.003911
CD36---COL1A2	0.003372
EGFR---EFEMP1	0.003358
CD36---COL1A1	0.002917
ITGB1---COL3A1	0.002906
EFEMP1---EGFR	0.002871
FN1---PLAUR	0.002823
CD47---TYROBP	0.002797
FBLN1---ITGB1	0.002756
TYROBP---CD47	0.002698
ITGB1---COL1A1	0.002594
COL1A2---ITGB1	0.002424
ITGA4---SPP1	0.002162
COL1A1---ITGA5	0.001914
RPS19---C5AR1	0.001893
APP---CD74	0.001827
PLAUR---FN1	0.001792
ITGA9---SPP1	0.001745
CANX---HLA-B	0.001545
ITGB1---COL1A2	0.001489
FN1---CD44	0.001400
EGFR---DCN	0.001283
F13A1---ITGB1	0.001255
ITGB1---COL4A1	0.001236
ABCA1---PLTP	0.001221
ITGB1---F13A1	0.001215
LRP1---APOE	0.001173
SCARB1---APOE	0.001137
CD74---APP	0.001013
C5AR1---RPS19	0.000997
CCL3---CCR1	0.000977
FN1---ITGB5	0.000951
PLTP---ABCA1	0.000950
COL6A2---ITGB1	0.000921
HLA-B---CANX	0.000916
COL4A1---ITGB1	0.000893
ITGB1---COL6A2	0.000877
VIM---CD44	0.000833
RPSA---LAMA2	0.000822
CCR1---CCL3	0.000813
COL1A1---CD44	0.000799
FN1---SDC2	0.000789
DCN---EGFR	0.000772
CD44---FN1	0.000769
LAMB2---RPSA	0.000759
HMGB1---SDC1	0.000743
PLA2G2A---ITGB1	0.000722
ITGA5---COL1A1	0.000670
RPSA---LAMB2	0.000667
ITGB5---FN1	0.000614
PGF---NRP2	0.000577
SDC2---FN1	0.000577
CAV1---APP	0.000538
LDLR---APOE	0.000533
LRP1---PSAP	0.000496
SPP1---ITGA9	0.000492
GSTP1---TRAF2	0.000491
CD44---VIM	0.000491
COL1A2---CD44	0.000487
NRP2---PGF	0.000481
LAMA2---RPSA	0.000470
PGF---NRP1	0.000467
LGALS3BP---ITGB1	0.000465
INSR---IGF2	0.000463
COL4A2---ITGB1	0.000447
FPR1---ANXA1	0.000444
ITGB1---LGALS3BP	0.000434
ITGA5---CYR61	0.000392
ITGB1---COL4A2	0.000389
CCR1---CCL4	0.000382
LRP2---APOE	0.000378
CCL4---CCR1	0.000373
FN1---ITGAV	0.000372
APOE---LRP1	0.000367
ITGB1---PLA2G2A	0.000354
ANXA1---FPR1	0.000352
TFPI---LRP1	0.000343
PSAP---LRP1	0.000327
NRP1---PGF	0.000325
ADAM12---ITGB1	0.000320
SDC1---HMGB1	0.000318
COL3A1---ITGA1	0.000307
VLDLR---APOE	0.000304
LAMA5---BCAM	0.000303
BCAM---LAMA5	0.000296
ITGB1---TGM2	0.000295
CALR---LRP1	0.000294
ITGB1---COL6A1	0.000290
IGF2---INSR	0.000285
COL6A1---ITGB1	0.000282
LRP1---CALR	0.000281
TGFB1---ENG	0.000281
SPINT1---ST14	0.000273
APP---CAV1	0.000266
ST14---SPINT1	0.000261
TGM2---ITGB1	0.000259
DDR1---COL3A1	0.000256
APOE---SCARB1	0.000254
APOE---LDLR	0.000252
LRP5---APOE	0.000250
TRAF2---GSTP1	0.000249
CYR61---ITGA5	0.000247
TNFRSF1A---GRN	0.000243
DDR1---COL1A1	0.000240
ITGA1---COL3A1	0.000239
CCL18---C14orf1	0.000236
IGF2---IGF1R	0.000232
EGFR---VCAN	0.000223
CCL18---CCR1	0.000217
ACKR2---CCL3	0.000213
ITGAV---FN1	0.000212
CCL3---ACKR2	0.000212
CD44---COL1A1	0.000210
TFPI---VLDLR	0.000209
SERPINE2---LRP1	0.000201
LRP1---TFPI	0.000201
DYSF---ANXA1	0.000200
EGFR---AREG	0.000199
NOTCH3---DLK1	0.000199
LRP1---SERPINE2	0.000197
AREG---EGFR	0.000197
COL3A1---DDR1	0.000189
COL1A1---ITGA1	0.000187
DLK1---NOTCH3	0.000185
IGF2---IGF2R	0.000183
HMGB1---THBD	0.000182
ITGB2---CYR61	0.000178
FN1---ITGB6	0.000175
CYR61---ITGB2	0.000174
GRN---TNFRSF1A	0.000173
ITGA1---COL1A1	0.000173
IGF1R---IGF2	0.000166
CALR---ITGAV	0.000164
MET---DCN	0.000160
PLA2G2A---ITGA5	0.000151
COL1A1---DDR1	0.000142
THBD---HMGB1	0.000139
VCAN---EGFR	0.000139
HSPG2---ITGB1	0.000131
PLAUR---ITGB1	0.000126
ITGB1---VCAN	0.000125
LAMA1---RPSA	0.000119
DLK1---NOTCH2	0.000108
CAV1---GNAI2	0.000107
RPSA---LAMA1	0.000106
DCN---MET	0.000105
CD44---COL1A2	0.000104
ITGA5---PLA2G2A	0.000103
VCAN---ITGB1	0.000100
COL1A2---ITGA1	0.000099
PTN---SDC1	0.000099
ACKR2---CCL4	0.000096
ITGB1---ADAM12	0.000095
NCSTN---APP	0.000094
PLAUR---MMP12	0.000093
RAMP2---ADM	0.000092
NOTCH2---DLK1	0.000091
LRP1---LRPAP1	0.000090
IDE---IGF2	0.000089
CTGF---ITGB2	0.000088
CCR1---CCL2	0.000084
IL6ST---EBI3	0.000081
LRP1---SERPINE1	0.000080
APOE---SORL1	0.000080
ENG---TGFB1	0.000080
NT5E---FN1	0.000079
NGFRAP1---NTF4	0.000079
APP---NCSTN	0.000077
ANXA1---DYSF	0.000076
LRP2---LRPAP1	0.000076
ITGAV---CALR	0.000076
SORL1---APOE	0.000075
APP---GPC1	0.000075
CCL4---ACKR2	0.000074
ITGA1---COL1A2	0.000073
SPP1---ITGA4	0.000072
LRP8---APOE	0.000071
CYR61---ITGB5	0.000070
TGFB1---EGFR	0.000070
C1QB---LRP1	0.000067
GPC1---APP	0.000066
B2M---ALB	0.000065
ITGB1---PLAUR	0.000065
LRP1---APP	0.000064
ITGB2---CTGF	0.000064
CAV1---HRAS	0.000063
AREG---ERBB3	0.000063
IGF2R---IGF2	0.000062
PIGF---FLT1	0.000062
ITGAV---CYR61	0.000061
FN1---ITGB8	0.000060
LRPAP1---LRP2	0.000059
IGF2---IDE	0.000059
LRP1---MDK	0.000056
VTN---PLAUR	0.000056
SEMA6D---TYROBP	0.000055
ADAM12---SDC4	0.000054
NTF4---NGFRAP1	0.000054
LRPAP1---LRP1	0.000053
PRND---RPSA	0.000053
COL6A2---ITGA1	0.000053
CD93---COL4A2	0.000051
ITGB1---VTN	0.000050
SDC4---ADAM12	0.000049
MMP12---PLAUR	0.000049
ATP6AP2---REN	0.000047
MDK---SDC1	0.000047
APOE---LRP5	0.000045
CD93---COL4A1	0.000045
APP---LRP1	0.000045
CD81---GPC3	0.000044
EGFR---TGFB1	0.000043
ITGA1---COL6A2	0.000043
CCL13---CCR1	0.000041
BAMBI---INHBA	0.000040
APOE---LRP2	0.000039
FN1---ITGA9	0.000039
BMP7---ENG	0.000038
CR1---C1QA	0.000038
TLR4---S100A9	0.000038
SDC4---MDK	0.000038
EGFR---GNAI2	0.000038
ITGB6---FN1	0.000038
ITGB1---COL6A3	0.000037
FBN1---ITGB1	0.000037
ERBB3---AREG	0.000035
ENG---BMP7	0.000035
MDK---LRP1	0.000035
VTN---ITGB1	0.000035
FN1---ITGB7	0.000034
ITGB5---CYR61	0.000033
FN1---NT5E	0.000033
TIMP2---ITGB1	0.000033
CAV1---BST1	0.000033
MDK---SDC4	0.000033
MIF---TNFRSF14	0.000032
VEGFB---FLT1	0.000032
FN1---TMPRSS6	0.000032
ANXA1---FPR3	0.000032
THBS1---CD36	0.000032
C14orf1---CCL18	0.000032
CCL3---IDE	0.000032
LRP1---CTGF	0.000031
FN1---ITGA2	0.000031
FPR3---ANXA1	0.000030
KDR---PGF	0.000030
APOE---VLDLR	0.000029
KDR---TIMP3	0.000029
ITGA4---CD14	0.000029
TNC---ITGB1	0.000028
NOTCH1---DLK1	0.000028
GPC3---CD81	0.000028
FLT1---PIGF	0.000028
LAMC1---ITGB1	0.000026
LRP2---MDK	0.000024
JAM2---ITGB1	0.000024
EBI3---IL6ST	0.000024
EGFR---CDH1	0.000024
FGFR3---HSP90AA1	0.000023
LRP1---C1QB	0.000023
ITGB8---FN1	0.000023
VCAN---CD44	0.000022
ITGB1---TIMP2	0.000022
GPR37---PSAP	0.000022
ACKR2---CCL2	0.000022
MDK---LRP2	0.000022
FPR2---ANXA1	0.000021
CCR1---CCL13	0.000021
TNFRSF21---APP	0.000021
COL4A1---ITGAV	0.000021
CCL2---CCR1	0.000020
IGF1R---GPC3	0.000020
PRLR---CSH1	0.000020
GNAI2---CAV1	0.000019
IDE---CCL3	0.000018
SDC4---TGM2	0.000018
CTGF---ITGA5	0.000018
COL5A1---ITGB1	0.000018
HGF---SDC1	0.000017
SDC1---MDK	0.000017
FN1---ITGA3	0.000017
ITGA9---FN1	0.000017
COL9A3---ITGB1	0.000016
C1QA---CR1	0.000016
COL6A3---ITGB1	0.000015
FN1---MAG	0.000015
SEMA7A---ITGB1	0.000015
SDC2---MMP2	0.000015
S100A9---TLR4	0.000015
TNC---ITGA5	0.000014
CCL3L3---ACKR2	0.000014
GNAI2---EGFR	0.000014
ITGB2---THY1	0.000014
FN1---ITGA4	0.000014
CYR61---ITGAV	0.000013
TGFBR3---INHBA	0.000013
ITGA4---FN1	0.000013
ITGA3---FN1	0.000013
HGF---CD44	0.000013
CDH1---EGFR	0.000013
TMPRSS6---FN1	0.000013
LDLR---LRPAP1	0.000013
SERPINE1---LRP1	0.000012
HSP90AA1---FGFR3	0.000012
ERBB2---HLA-A	0.000012
REN---ATP6AP2	0.000012
VLDLR---TFPI	0.000012
SORT1---GRN	0.000012
ICAM2---ITGB2	0.000012
RPSA---PRND	0.000012
ITGA11---FN1	0.000012
PTMA---VIPR1	0.000011
ITGB1---COL15A1	0.000011
DLK1---NOTCH4	0.000011
CCR1---CCL18	0.000011
EFNA1---EPHA2	0.000011
NGFRAP1---BDNF	0.000011
ITGA1---COL6A1	0.000011
FBN1---ITGA5	0.000011
COL1A1---CD93	0.000010
CP---SLC40A1	0.000010
COL3A1---DDR2	0.000010
ITGA2B---COL1A2	0.000009
SDC1---PTN	0.000009
MAG---FN1	0.000009
APOE---LRP8	0.000009
LRPAP1---SORT1	0.000009
TGM2---SDC4	0.000009
ENG---INHBA	0.000009
NOTCH4---DLK1	0.000009
SEMA6D---TREM2	0.000009
FPR1---GNAI2	0.000009
ITGB1---COL5A1	0.000008
COL3A1---ITGA2	0.000008
THY1---ITGB2	0.000008
PILRA---CD99	0.000008
CD14---ITGA4	0.000008
FN1---COL13A1	0.000008
TYROBP---SEMA6D	0.000008
LAMB1---ITGB1	0.000008
ITGB3---FN1	0.000008
ADAM9---ITGB1	0.000008
COL3A1---MAG	0.000007
CD93---C1QA	0.000007
DDR2---COL1A1	0.000007
HGF---SDC2	0.000007
COL1A1---ITGA2	0.000007
ITGA11---COL3A1	0.000007
ITGB1---FBN1	0.000007
PLAUR---VTN	0.000007
NRP1---SEMA3B	0.000006
VTN---ITGA5	0.000006
SEMA3B---NRP1	0.000006
ITGB1---LAMC2	0.000006
PLA2G2A---ITGA4	0.000006
PLD2---ARF1	0.000006
COL1A2---ITGA2	0.000006
VLDLR---LRPAP1	0.000006
ITGA5---CTGF	0.000006
ITGA11---COL1A1	0.000006
GRN---SORT1	0.000006
ACKR2---CCL13	0.000006
ACVR2B---INHBA	0.000005
TGFB1---SDC2	0.000005
ITGB1---COL21A1	0.000005
VCAM1---ITGB1	0.000005
ITGB1---COL5A2	0.000005
MMP9---CD44	0.000005
PTPRF---CDH1	0.000005
CCL3L3---CCR1	0.000005
LRPAP1---LDLR	0.000005
LRPAP1---VLDLR	0.000005
HRAS---CAV1	0.000005
ITGB1---LAMB1	0.000005
HLA-B---KLRD1	0.000005
FLT1---VEGFB	0.000005
ACVR2A---INHBA	0.000004
FN1---ITGA11	0.000004
DDR2---COL3A1	0.000004
HLA-A---ERBB2	0.000004
LAMC2---ITGB1	0.000004
ITGB1---CDH1	0.000004
ARF1---PLD2	0.000004
C1QA---CD93	0.000004
CD44---MMP9	0.000004
COL13A1---FN1	0.000004
COL4A1---ITGA1	0.000004
BST1---CAV1	0.000004
NRP2---SEMA3B	0.000004
ITGA1---COL4A2	0.000004
EGFR---HBEGF	0.000004
TGFB3---ENG	0.000004
CCL13---ACKR2	0.000004
CCR10---CCL2	0.000003
ITGAV---ADAM9	0.000003
COL1A1---TMPRSS6	0.000003
ITGB1---TNC	0.000003
ITGB1---ADAM9	0.000003
ADAM15---ITGA5	0.000003
TMPRSS6---COL1A1	0.000003
CCL2---ACKR2	0.000003
CCR3---CCL3	0.000003
SIRPA---CD47	0.000002
C1QA---CSPG4	0.000002
EGFR---FGL1	0.000002
CD36---THBS1	0.000002
CCR3---CCL4	0.000002
DLK1---NOTCH1	0.000002
HLA-G---KLRD1	0.000002
IL1RN---IL1RAP	0.000002
SDC2---TGFB1	0.000001
HLA-G---LILRB2	0.000001
CD93---COL1A1	0.000001
ARF1---INSR	0.000001
AXL---GAS6	0.000001
ITGA5---ADAM15	0.000001
CCL5---SDC4	0.000001
ALB---B2M	0.000001
MMP2---SDC2	0.000001
ITGB1---HSPG2	0.000001
ANXA1---FPR2	0.000001
MMP7---CD151	0.000001
LRP2---SERPINE1	0.000001
ITGB2---F11R	0.000001
LILRB2---HLA-C	0.000001
ACKR2---CCL3L3	0.000001
SDC1---CCL5	0.000000

VCT_p---DC1	q-value: 0.79143

Ligand---Receptor	contribution
CD63---TIMP1	0.249366
SPP1---ITGB1	0.164190
SPP1---CD44	0.098312
APLP2---HLA-A	0.046186
EGFR---DCN	0.019493
CANX---HLA-B	0.015345
TIMP1---CD63	0.013923
COL1A1---CD44	0.007245
FN1---SDC2	0.007183
CD14---ITGB1	0.006775
VIM---CD44	0.006701
FN1---PLAUR	0.006611
SPP1---ITGAV	0.006504
COL1A1---ITGB1	0.006486
APP---CD74	0.006355
FN1---ITGB1	0.005750
COL3A1---ITGB1	0.005410
CD44---VIM	0.005199
RAMP2---ADM	0.004975
SPP1---ITGA5	0.004451
ALB---B2M	0.004355
FN1---CD44	0.004188
ITGB1---TGM2	0.003940
MET---DCN	0.003821
COL1A2---ITGB1	0.003591
FN1---ITGB8	0.003541
COL1A2---CD44	0.003313
SCARB1---APOE	0.002885
ERBB2---HLA-A	0.002782
IGF2---INSR	0.002521
CD47---TYROBP	0.002241
FBLN1---ITGB1	0.002230
FPR1---ANXA1	0.001913
ITGB1---FBLN1	0.001872
EGFR---ANXA1	0.001776
ITGB2---THY1	0.001715
SDC4---MDK	0.001611
ANXA1---EGFR	0.001561
PRLR---PRL	0.001542
IL1R2---IL1B	0.001509
HSP90AA1---EGFR	0.001478
IL1RN---IL1R2	0.001282
CAV1---GNAI2	0.001198
HLA-E---KLRC1	0.001164
HLA-B---CANX	0.001153
RPS19---C5AR1	0.001127
APOE---SCARB1	0.001046
LDLR---APOE	0.001028
F13A1---ITGB1	0.001018
LRP5---APOE	0.000972
EGFR---AREG	0.000961
COL1A1---ITGA1	0.000916
KDR---TIMP3	0.000871
TGFB1---SDC2	0.000843
FAM3C---CLEC2D	0.000839
IL1RAP---IL1B	0.000835
COL3A1---ITGA1	0.000767
SDC4---TGM2	0.000749
CCR1---CCL3	0.000748
EGFR---HSP90AA1	0.000721
VCAN---CD44	0.000698
COL4A1---ITGB1	0.000652
HGF---CD44	0.000646
COL6A1---ITGB1	0.000630
CYR61---ITGB2	0.000623
FN1---ITGB5	0.000585
HLA-A---APLP2	0.000567
ITGB1---SPP1	0.000561
COL1A1---CD93	0.000557
LRP1---APOE	0.000535
VTN---ITGB1	0.000525
LRP1---PSAP	0.000502
CD93---C1QA	0.000484
IDE---CCL3	0.000480
CD44---MMP9	0.000480
DCN---EGFR	0.000418
ACKR2---CCL4	0.000408
VLDLR---APOE	0.000381
ITGB1---CD14	0.000374
IL1RN---IL1R1	0.000371
LRP1---C1QB	0.000332
CALCRL---ADM	0.000294
FN1---ITGA3	0.000293
LAMC1---ITGB1	0.000269
CCR1---CCL3L3	0.000235
CDH1---ITGB1	0.000224
C1QA---CD93	0.000223
CSH1---PRLR	0.000221
HLA-E---KLRD1	0.000179
PLTP---ABCA1	0.000155
APOE---SORL1	0.000139
HBEGF---CD44	0.000089

VCT_p---DC2	q-value: 0.79143

Ligand---Receptor	contribution
APLP2---HLA-A	0.238994
APP---CD74	0.188679
EGFR---HSP90AA1	0.157233
CANX---HLA-B	0.050314
ITGAV---CALR	0.047170
CD47---TYROBP	0.033019
IGF2---IGF2R	0.028302
SPP1---CD44	0.025157
SPP1---ITGB1	0.025157
FBLN1---ITGB1	0.015723

VCT_p---EVT	q-value: 0

Ligand---Receptor	contribution
SPP1---ITGB1	0.191297
SPP1---ITGA5	0.146401
ITGB1---SPP1	0.030250
FLT1---PGF	0.028174
TIMP1---CD63	0.025190
PGF---FLT1	0.024418
ITGB1---FN1	0.022454
SPP1---CD44	0.021369
CD63---TIMP1	0.019501
FN1---ITGB1	0.015725
ITGA5---FN1	0.013499
ITGA5---SPP1	0.011666
FN1---ITGA5	0.011442
SPP1---ITGAV	0.009757
CD14---ITGB1	0.008442
ITGB1---COL4A1	0.007268
FBLN1---ITGB1	0.006787
COL4A1---ITGB1	0.006557
CD44---SPP1	0.005514
CD36---COL1A1	0.004317
ITGB1---COL4A2	0.003722
ITGA5---CYR61	0.003582
CYR61---ITGA5	0.003474
ITGB1---FBLN1	0.003463
COL4A2---ITGB1	0.003093
EGFR---HSP90AA1	0.002783
ITGB1---COL1A1	0.002697
IGF2---INSR	0.002672
C5AR1---RPS19	0.002376
ITGB1---COL3A1	0.002371
RAMP2---ADM	0.002337
EGFR---ANXA1	0.002175
CD36---COL1A2	0.002147
F13A1---ITGB1	0.002106
HLA-B---CANX	0.001785
ITGAV---SPP1	0.001762
COL3A1---ITGB1	0.001724
APLP2---HLA-A	0.001617
RPS19---C5AR1	0.001611
CD44---FN1	0.001609
COL1A1---ITGB1	0.001533
ITGB1---ADAM12	0.001504
PLAUR---FN1	0.001422
ITGA5---COL1A1	0.001384
NRP2---PGF	0.001343
NRP1---PGF	0.001317
SPP1---ITGA4	0.001316
TFPI---LRP1	0.001256
LRP1---TFPI	0.001160
ITGB1---COL1A2	0.001136
FN1---PLAUR	0.001121
S1PR1---SPP1	0.001120
INSR---IGF2	0.001104
TYROBP---CD47	0.001088
APP---CD74	0.001035
LAMB2---RPSA	0.001029
COL1A2---ITGB1	0.001007
COL1A1---ITGA5	0.000979
COL6A2---ITGB1	0.000965
FN1---CD44	0.000878
COL1A1---CD36	0.000790
ITGB1---LGALS3BP	0.000756
CANX---HLA-B	0.000752
LAMA2---RPSA	0.000748
KDR---PGF	0.000745
CD47---TYROBP	0.000723
FPR1---ANXA1	0.000700
SPP1---S1PR1	0.000690
LGALS3BP---ITGB1	0.000686
COL1A2---CD36	0.000651
VLDLR---TFPI	0.000640
TFPI---VLDLR	0.000636
SDC2---FN1	0.000633
ENG---TGFB1	0.000627
ITGB1---CD14	0.000614
HSP90AA1---EGFR	0.000600
APP---CAV1	0.000596
LRP1---CALR	0.000586
ADAM12---ITGB1	0.000571
B2M---ALB	0.000563
HMGB1---SDC1	0.000556
HLA-A---APLP2	0.000554
ITGB2---CYR61	0.000533
CD44---VIM	0.000524
LRP1---APOE	0.000518
EGFR---DCN	0.000494
TGFB1---ENG	0.000490
SCARB1---APOE	0.000488
REN---ATP6AP2	0.000488
CAV1---APP	0.000487
ANXA1---EGFR	0.000481
CCL3---CCR1	0.000480
ITGB5---FN1	0.000478
CD74---APP	0.000474
ALB---B2M	0.000443
ITGB1---COL6A2	0.000415
VLDLR---APOE	0.000412
APOE---LRP1	0.000406
CCL3---ACKR2	0.000405
MDK---SDC4	0.000393
LDLR---APOE	0.000361
CD93---COL4A1	0.000355
CYR61---ITGB2	0.000341
HMGB1---THBD	0.000326
GNAI2---CAV1	0.000325
SDC1---HMGB1	0.000313
PLA2G2A---ITGA5	0.000290
IGF2---IGF1R	0.000288
PLA2G2A---ITGB1	0.000287
ITGA9---SPP1	0.000283
GSTP1---TRAF2	0.000282
FGFR3---HSP90AA1	0.000277
LAMA1---RPSA	0.000275
COL18A1---ITGB1	0.000269
SDC4---ADAM12	0.000264
ITGB2---CTGF	0.000262
IGF2---IGF2R	0.000261
CD44---COL1A1	0.000261
SPP1---ITGA9	0.000258
ITGAV---CALR	0.000254
ITGAV---FN1	0.000253
VCAN---ITGB1	0.000250
EGFR---EFEMP1	0.000249
VIM---CD44	0.000245
CAV1---GNAI2	0.000239
FN1---SDC2	0.000238
CTGF---ITGA5	0.000234
CALR---LRP1	0.000225
DCN---EGFR	0.000213
FN1---ITGB6	0.000207
IGF1R---IGF2	0.000193
IL6ST---EBI3	0.000191
ITGB1---F13A1	0.000189
DYSF---ANXA1	0.000184
CD93---COL1A1	0.000182
GRN---TNFRSF1A	0.000179
SPP1---ITGB3	0.000177
LRP1---SERPINE2	0.000162
COL18A1---ITGA5	0.000161
ITGB1---HSPG2	0.000157
LRP1---PSAP	0.000154
FN1---ITGB5	0.000154
IGF2R---IGF2	0.000150
ADAM12---SDC4	0.000149
THBD---HMGB1	0.000145
PLAUR---ITGB1	0.000141
EGFR---TGFB1	0.000139
RPSA---LAMA1	0.000139
TGM2---ITGB1	0.000138
CCR1---CCL18	0.000138
SERPINE2---LRP1	0.000137
CCR1---CCL3	0.000133
EFEMP1---EGFR	0.000131
COL6A1---ITGB1	0.000131
PGF---NRP2	0.000131
APOE---VLDLR	0.000129
COL3A1---ITGA1	0.000127
RPSA---LAMA2	0.000122
ANXA1---FPR3	0.000120
APOE---LDLR	0.000120
FN1---ITGAV	0.000117
ITGA5---CTGF	0.000117
HLA-A---ERBB2	0.000113
CD93---COL4A2	0.000112
COL1A1---CD44	0.000111
COL1A1---ITGA1	0.000107
PLAUR---MMP12	0.000106
APOE---SCARB1	0.000103
ITGB8---FN1	0.000103
ANXA1---FPR1	0.000101
PSAP---LRP1	0.000099
CCL4---CCR1	0.000098
PGF---NRP1	0.000094
KDR---TIMP3	0.000093
CD44---COL1A2	0.000093
TNFRSF1A---GRN	0.000091
EGFR---VCAN	0.000090
FN1---ITGA2	0.000090
C14orf1---CCL18	0.000085
PIGF---FLT1	0.000085
SELP---CD24	0.000084
ABCA1---PLTP	0.000083
CD93---COL1A2	0.000080
MDK---SDC1	0.000072
LRP5---APOE	0.000072
ITGAV---CYR61	0.000072
CCL4---ACKR2	0.000071
AREG---ERBB3	0.000071
ITGB1---COL6A1	0.000065
DCN---MET	0.000063
TIMP2---ITGB1	0.000063
PLTP---ABCA1	0.000063
COL1A1---CD93	0.000062
CAV1---HRAS	0.000062
COL1A2---ITGA1	0.000060
DDR1---COL3A1	0.000058
ARF1---INSR	0.000058
HSP90AA1---FGFR3	0.000057
ITGB1---VCAN	0.000057
COL1A1---DDR1	0.000057
APP---GPC1	0.000057
COL1A2---CD44	0.000056
FN1---NT5E	0.000056
LRP1---CTGF	0.000055
JAM2---ITGB1	0.000055
COL3A1---DDR1	0.000055
IGF2---IDE	0.000052
ADAM15---ITGA5	0.000052
CTGF---ITGB2	0.000051
COL1A2---CD93	0.000050
DLK1---NOTCH2	0.000050
FN1---ITGB7	0.000050
FN1---ITGA4	0.000048
ADAM15---ITGB1	0.000048
DPP4---ADCYAP1	0.000047
TRAF2---GSTP1	0.000047
FN1---MAG	0.000046
DLK1---NOTCH1	0.000045
COL18A1---GPC1	0.000045
CD93---C1QA	0.000045
LAMA5---BCAM	0.000044
FN1---TNFRSF11B	0.000044
SDC2---MMP2	0.000044
PTN---SDC1	0.000043
CD81---GPC3	0.000043
ITGB1---TGM2	0.000042
FLT1---PIGF	0.000042
GRN---TNFRSF1B	0.000041
ITGB1---ADAM15	0.000041
EBI3---IL6ST	0.000041
DDR1---COL1A1	0.000040
TGM2---SDC4	0.000040
ANXA1---DYSF	0.000039
ITGA1---COL1A1	0.000039
ITGA1---COL3A1	0.000038
PTMA---VIPR1	0.000037
CCL2---CCR1	0.000034
COL6A3---ITGB1	0.000032
SDC1---MDK	0.000030
C1QB---LRP1	0.000030
CCR1---CCL13	0.000029
LRP1---C1QB	0.000029
ITGB1---PLA2G2A	0.000029
TGFB1---ACVRL1	0.000029
S100A9---TLR4	0.000028
ITGA4---SPP1	0.000028
ERBB2---HLA-A	0.000028
FN1---COL13A1	0.000027
ITGAM---CYR61	0.000027
PSAP---GPR37	0.000027
C3---ITGB2	0.000027
IDE---IGF2	0.000027
SDC1---HGF	0.000026
FPR3---ANXA1	0.000026
BCAM---LAMA5	0.000025
CALR---ITGAV	0.000025
HRAS---CAV1	0.000025
ITGB6---FN1	0.000025
VEGFB---FLT1	0.000024
LRPAP1---LRP1	0.000024
RPSA---LAMB2	0.000024
LRP2---SERPINE1	0.000024
CCL3---IDE	0.000023
ITGB5---CYR61	0.000023
CCL2---ACKR2	0.000023
LRP1---SERPINE1	0.000022
INHBA---BAMBI	0.000021
SDC4---TGM2	0.000021
ITGB1---PLAUR	0.000021
