endocrine---endocrine	q-value: 0
CD63---TIMP1	0.014725
SSTR1---SST	0.011064
RAMP2---IAPP	0.009159
ITGA5---SPP1	0.008393
TTR---DDR1	0.006962
DDR1---TTR	0.005663
ITGB1---SPP1	0.005488
SSTR3---SST	0.005207
ENG---INHBA	0.004312
HLA-B---CANX	0.003956
HSPG2---ITGB1	0.003897
INSR---ARF1	0.003747
HLA-A---APLP2	0.003457
ITGB1---TGM2	0.003381
APLP2---HLA-A	0.003299
THBS1---ITGB1	0.003170
IDE---GCG	0.002265
INS---IGF1R	0.002216
FLT1---VEGFA	0.001968
GNAI2---IGF1R	0.001866
COL4A1---ITGB1	0.001790
THBD---HMGB1	0.001745
INS---INSR	0.001724
INSR---IGF2	0.001569
SERPINE1---LRP2	0.001487
S1PR1---SPP1	0.001394
ITGAV---SPP1	0.001150
COL18A1---ITGB1	0.001112
KDR---VEGFA	0.001085
GCG---DPP4	0.001066
GLP2R---GCG	0.000951
IDE---IAPP	0.000852
COL15A1---ITGB1	0.000783
COL13A1---ITGB1	0.000746
NRP2---VEGFA	0.000712
ENG---BMP2	0.000664
ARF1---INSR	0.000661
ITGA2---CDH1	0.000624
INSR---NAMPT	0.000609
APP---NCSTN	0.000598
FLT1---VEGFB	0.000591
ITGB1---CDH1	0.000566
LAMC1---ITGB1	0.000544
TNFRSF14---MIF	0.000496
TNFRSF1A---GRN	0.000469
INS---IDE	0.000463
VIM---CD44	0.000440
CD44---SPP1	0.000423
CD74---APP	0.000410
ITGB1---CD14	0.000401
PRSS23---TMEM222	0.000396
ITGB1---TIMP2	0.000391
CD44---VIM	0.000367
CANX---HLA-B	0.000351
THBS1---CD47	0.000342
TGM2---ITGB1	0.000341
TIMP2---ITGB1	0.000341
GCG---IDE	0.000335
THBS1---LRP5	0.000307
ITGB1---LGALS3BP	0.000289
LAMB2---RPSA	0.000287
GRN---TNFRSF1A	0.000272
APP---TNFRSF21	0.000249
KDR---VEGFB	0.000246
IGF2R---PLAU	0.000234
PLAU---ST14	0.000226
IGF2R---IGF2	0.000217
NOTCH1---DLK1	0.000212
CXCL12---ITGB1	0.000196
INS---LRP2	0.000191
ITGB3---SPP1	0.000191
ITGB1---COL6A1	0.000190
ADAM17---ITGB1	0.000171
TNFRSF10D---MIF	0.000169
IGF1R---IGF2	0.000161
ITGAV---CALR	0.000159
ENG---TGFB3	0.000158
NOTCH4---DLK1	0.000156
ITGA2---COL6A1	0.000155
PTGIR---GNAS	0.000154
ARF1---PLD2	0.000152
FBN1---ITGB1	0.000151
GNAI2---DRD2	0.000147
NRP1---VEGFA	0.000141
GCG---GCGR	0.000139
ENG---TGFB1	0.000133
THBS1---ITGAV	0.000132
ITGB1---NPNT	0.000131
COL27A1---ITGB1	0.000130
CD9---HBEGF	0.000130
PLAUR---PLAU	0.000128
ITGA9---SPP1	0.000127
COL6A2---ITGB1	0.000126
ITGB1---LAMC1	0.000121
TNFRSF1B---GRN	0.000118
ITGA2---LAMC1	0.000115
NAMPT---INSR	0.000114
APP---CD74	0.000112
GRN---SORT1	0.000107
ITGB1---COL27A1	0.000102
SEMA7A---ITGB1	0.000101
SDC4---TGM2	0.000100
SERPINE1---LRP1	0.000099
JAG1---CD46	0.000092
ITGA2---COL27A1	0.000090
IGF1R---CDH1	0.000090
ITGA5---L1CAM	0.000089
ITGA1---COL6A1	0.000089
ST14---PLAU	0.000084
THBS1---ITGA3	0.000077
HMGB1---THBD	0.000076
THBS1---CD36	0.000074
SST---SSTR2	0.000074
TNFSF12---TNFRSF12A	0.000071
PLAU---LRP2	0.000069
MIF---TNFRSF14	0.000068
PLAUR---ITGB1	0.000067
SDC3---MDK	0.000066
VEGFA---NRP1	0.000062
SEMA3F---NRP1	0.000061
ITGB1---COL5A1	0.000061
LRP1---SERPINA1	0.000060
FLT1---PGF	0.000060
ITGA5---COL18A1	0.000058
IGF2---IGF1R	0.000056
CALR---ITGAV	0.000056
GCGR---GNAS	0.000053
VCAN---ITGB1	0.000053
LRP1---PSAP	0.000053
ADAM9---ITGB1	0.000050
FLT1---PIGF	0.000048
ITGB1---LAMC2	0.000048
PGF---NRP1	0.000047
GCG---GLP2R	0.000046
SST---SSTR3	0.000044
ITGA2---COL5A1	0.000044
LAMB1---ITGB1	0.000043
ITGA5---FGB	0.000043
IL6ST---IL11	0.000039
INSR---HRAS	0.000038
ADAM15---ITGB1	0.000038
ITGB1---ADAM9	0.000037
PTPRM---CDH1	0.000035
HSPG2---ITGA2	0.000035
FN1---ITGB1	0.000033
CALR---ITGA3	0.000033
NCSTN---APP	0.000032
ADCYAP1R1---ADCYAP1	0.000031
CALCRL---ADM	0.000031
LRPAP1---SORT1	0.000031
COL6A1---ITGB1	0.000028
PECAM1---EFNB2	0.000027
CD93---F12	0.000026
KDR---COL18A1	0.000026
NRP1---VEGFB	0.000025
SORT1---GRN	0.000025
HLA-A---ERBB2	0.000024
VEGFA---EPHB2	0.000024
IGF2---INSR	0.000023
GNAI2---ADCY1	0.000023
ITGB1---L1CAM	0.000023
COL15A1---ITGA2	0.000022
EPHA2---EFNA5	0.000022
MDK---LRP2	0.000021
ITGA5---ADAM15	0.000021
TRAF2---GSTP1	0.000020
GNAS---GCGR	0.000020
NOTCH1---PSEN1	0.000020
SST---SSTR1	0.000019
EFNB2---EPHB2	0.000019
LRPAP1---LDLR	0.000019
CYR61---ITGA5	0.000018
KDR---PGF	0.000018
ITGB1---COL18A1	0.000018
RAMP2---ADM	0.000018
ITGB1---PLAUR	0.000018
GNAI2---OPRD1	0.000018
APP---GPC1	0.000017
COL4A1---ITGAV	0.000016
ITGB5---ITGB3BP	0.000016
CTHRC1---FZD6	0.000016
LRPAP1---LRP2	0.000016
THBS1---TNFRSF11B	0.000015
PTMA---VIPR1	0.000015
ACVR2B---INHBA	0.000014
IDE---IGF2	0.000014
COL18A1---ITGA5	0.000014
LDLR---LRPAP1	0.000013
ACVR1C---INHBA	0.000013
CAV1---GNAI2	0.000013
NRP2---VEGFC	0.000013
ITGA2---COL18A1	0.000013
ALK---MDK	0.000012
CAV1---PTGS2	0.000012
PLAU---IGF2R	0.000012
LRPAP1---SORL1	0.000012
CDH1---IGF1R	0.000012
NOTCH3---DLK1	0.000012
EFNB1---EPHB2	0.000011
SORT1---LRPAP1	0.000011
NOTCH2---DLK1	0.000011
GNAS---VIPR1	0.000011
ITGB1---COL5A2	0.000010
SEMA3F---PLXNA3	0.000010
ITGA5---ADAM17	0.000010
CD46---C3	0.000010
ACVRL1---TGFB3	0.000008
CAV1---APP	0.000008
INHBA---TGFBR3	0.000008
ITGA3---CALR	0.000008
CALR---LRP1	0.000007
B2M---ALB	0.000007
VCAN---CD44	0.000007
GLP1R---GCG	0.000007
PDGFB---LRP1	0.000007
COL5A3---ITGB1	0.000007
TTR---NGFR	0.000006
IL6ST---LIF	0.000006
LAMC1---ITGAV	0.000006
APP---LRP1	0.000006
GNAI2---PTPRU	0.000006
POMC---MC1R	0.000006
KDR---VEGFC	0.000006
COL4A1---ITGA2	0.000006
SCARF1---CALR	0.000006
VEGFA---NRP2	0.000006
IGF1R---GNAI2	0.000005
ITGA2---COL5A2	0.000005
INHBA---ACVR1B	0.000005
PGF---NRP2	0.000005
ITGA5---CTGF	0.000004
IGFBP4---LRP6	0.000004
RPSA---LAMB2	0.000004
BMPR2---BMP5	0.000004
EFNA1---EPHA8	0.000004
MDK---TSPAN1	0.000003
VWF---ITGAV	0.000003
COL6A2---ITGA1	0.000003
SEMA3F---NRP2	0.000003
COL18A1---ITGA2	0.000003
ITGAV---EDIL3	0.000003
SEMA3G---NRP2	0.000003
EGFR---HSP90AA1	0.000003
IL24---IL20RA	0.000003
F2R---GNAI2	0.000003
THBS1---ITGA6	0.000003
SERPING1---LRP1	0.000003
PSAP---LRP1	0.000003
TMEM222---PRSS23	0.000003
GCG---GLP1R	0.000003
ITGB1---FGB	0.000003
IL10RB---UCN3	0.000002
ITGB5---LTBP3	0.000002
SPINT1---ST14	0.000002
EGFR---SPINK1	0.000002
ITGA3---TIMP2	0.000002
ITGA1---COL27A1	0.000002
ITGB1---ADAM15	0.000002
THBS1---LRP1	0.000002
COL13A1---ITGA2	0.000002
ITGA5---FGG	0.000002
NID1---PTPRF	0.000002
ITGA1---COL18A1	0.000002
THBD---PROC	0.000002
ITGB3---TGM2	0.000002
ACVRL1---TGFB1	0.000002
ITGB1---ADAM17	0.000002
KDR---SEMA6D	0.000002
COL6A2---ITGA2	0.000002
LRP1---CALR	0.000002
TGFBR3---INHBA	0.000002
IGF2---IGF2R	0.000002
COL4A1---ITGA1	0.000002
PDGFRB---PDAP1	0.000002
PLAT---LRP1	0.000002
ITGA5---FN1	0.000002
LGALS9---CD44	0.000002
COL4A1---ITGA10	0.000002
COPA---SORT1	0.000001
INHBB---ACVR1B	0.000001
PLAU---PLAUR	0.000001
IGF2---IDE	0.000001
THY1---ITGAV	0.000001
PSAP---GPR37	0.000001
GNAI2---ADRA2A	0.000001
ITGB1---FGG	0.000001
EFNB1---EPHB4	0.000001
LRPAP1---VLDLR	0.000001
PLAU---LRP1	0.000001
TNFRSF10D---TNFSF10	0.000001
FN1---CD44	0.000001
EFNB2---EPHB4	0.000001
COL13A1---ITGA1	0.000001
COL1A1---CD44	0.000001
SERPINE2---LRP1	0.000001
JMJD6---PTDSS1	0.000001
ITGB1---COL22A1	0.000001
CAV1---HRAS	0.000001
ADM---RAMP2	0.000001
VEGFA---GPC1	0.000001
LAMC1---ITGA2	0.000001
EPHB4---EFNB3	0.000001
RIPK1---TNFSF10	0.000001
TGFB1---SDC2	0.000001
IAPP---IDE	0.000001
PLD2---ARF1	0.000001
SDC4---MDK	0.000001
INSR---SORBS1	0.000001
HBEGF---CD44	0.000001
ITGB1---LAMB1	0.000001
COL18A1---ITGA1	0.000001
ITGB1---VTN	0.000001
CALR---SCARF1	0.000001
ITGB1---COL9A2	0.000001
FAP---NPY	0.000001
ITGA1---COL5A2	0.000001
IL11RA---IL11	0.000001
TGFB1---TGFBR3	0.000001
INHBA---ACVR1C	0.000001
ITGAV---PLAUR	0.000001
INHBA---ACVR1	0.000001
COL6A2---ITGA10	0.000001
ITGB1---VCAN	0.000001
TBXA2R---GNAI2	0.000001
NRP2---SEMA4F	0.000001
TNFRSF21---APP	0.000001
ITGAV---LAMC1	0.000001
SDC3---PTN	0.000001
CD14---ITGB1	0.000001
UNC5B---NTN1	0.000001
ITGB1---COL17A1	0.000000
RTN4---CNTNAP1	0.000000
CD44---MMP9	0.000000
ITGA5---ANGPTL3	0.000000
SORL1---LRPAP1	0.000000
BMPR2---BMP2	0.000000
EFNB1---ERBB2	0.000000
COL18A1---ITGA10	0.000000
INHBB---ACVR1	0.000000
RTN4---TNFRSF19	0.000000
BMPR2---GDF5	0.000000
FGFR1---FGF2	0.000000
ITGAV---ADAM9	0.000000
ADRB2---VEGFB	0.000000
ACE---BDKRB2	0.000000
HRAS---INSR	0.000000
ITGB1---JAM2	0.000000
TNFRSF10B---TNFSF10	0.000000
EFNA1---EPHA7	0.000000
FBN1---ITGAV	0.000000
NID1---ITGAV	0.000000
LRRC4---NTNG2	0.000000
HBEGF---CD82	0.000000
EPHB4---EFNB1	0.000000
TGM2---SDC4	0.000000
COL27A1---ITGA2	0.000000
PVRL1---MLLT4	0.000000
HBEGF---CD9	0.000000
LRP1---LRPAP1	0.000000
BMPR2---BMPR1A	0.000000
CALR---ITGA2B	0.000000
TNFSF10---RIPK1	0.000000
INHBB---ACVR1C	0.000000
LRP1---APP	0.000000
POMC---OPRD1	0.000000
CDH1---ITGB1	0.000000
COL13A1---ITGA10	0.000000
CDH1---ITGAE	0.000000
CDH1---PTPRM	0.000000
TGFB3---TGFBR3	0.000000
SORT1---COPA	0.000000
EGFR---GNAI2	0.000000
LRP1---C3	0.000000
AQP1---EFEMP2	0.000000
IL11---IL6ST	0.000000
A2M---LRP1	0.000000
AANAT---MTNR1A	0.000000
AANAT---MTNR1B	0.000000
ACE---AGTR2	0.000000
ADAM10---AXL	0.000000

endothelial---endothelial	q-value: 0

Ligand---Receptor	contribution
TIMP1---CD63	0.028187
CD63---TIMP1	0.022970
HMGB1---THBD	0.022738
THBD---HMGB1	0.017742
ITGB1---THBS1	0.016365
ITGB1---HSPG2	0.015697
HLA-A---APLP2	0.013276
COL4A1---CD93	0.013192
INS---INSR	0.012517
ITGA2---HSPG2	0.012306
APLP2---HLA-A	0.011852
CD93---COL4A1	0.011461
HSPG2---ITGB1	0.010670
ENG---INHBA	0.009427
INHBA---ENG	0.009284
CANX---HLA-B	0.008874
INSR---INS	0.008499
ITGA5---COL18A1	0.008446
COL18A1---ITGA5	0.008346
THBS1---ITGB1	0.008338
HSPG2---COL13A1	0.007296
HSPG2---ITGA2	0.007069
FLT1---VEGFA	0.006887
APP---CD74	0.006618
ARF1---INSR	0.005888
HLA-B---CANX	0.005838
EFNB2---PECAM1	0.005625
ITGB1---COL4A1	0.005048
COL4A1---ITGB1	0.005018
COL18A1---KDR	0.004319
COL13A1---HSPG2	0.004313
ITGA2---COL4A1	0.004093
CD74---APP	0.003713
VEGFA---FLT1	0.003597
PECAM1---EFNB2	0.003596
ITGB1---COL13A1	0.003467
COL4A1---ITGA2	0.003435
KDR---VEGFA	0.003187
ITGA2---COL15A1	0.003177
ITGB1---COL18A1	0.003047
TGFB1---ENG	0.002956
ITGA2---COL13A1	0.002875
ENG---TGFB1	0.002869
PGF---FLT1	0.002840
VEGFA---KDR	0.002537
INSR---ARF1	0.002536
COL15A1---ITGB1	0.002533
COL6A2---ITGB1	0.002526
FLT1---PGF	0.002526
ITGAV---THBS1	0.002419
KDR---COL18A1	0.002243
ITGB1---COL15A1	0.002145
COL6A2---ITGA2	0.002130
ITGB1---COL6A2	0.002000
ITGA2---COL18A1	0.001922
COL18A1---ITGB1	0.001892
PGF---KDR	0.001850
ITGA2---COL6A2	0.001690
LAMC1---ITGB1	0.001519
COL13A1---ITGB1	0.001444
COL4A1---ITGA1	0.001341
ITGA2---MMP1	0.001328
MMP1---ITGA2	0.001268
SEMA3F---NRP2	0.001250
NRP2---VEGFA	0.001228
COL15A1---ITGA2	0.001223
ITGB1---COL6A1	0.001223
ITGA5---COL1A1	0.001192
VEGFA---NRP2	0.001175
INSR---NAMPT	0.001160
ITGA2---COL6A1	0.001133
NOTCH1---JAG1	0.001128
CD93---COL1A1	0.001086
INS---IGF1R	0.001070
ITGA1---COL4A1	0.001065
ITGB1---LAMC1	0.001064
ITGB1---TIMP2	0.001029
NCSTN---APP	0.001025
ITGA1---COL13A1	0.001009
ITGAV---CALR	0.001007
NOTCH4---JAG1	0.000987
PGF---NRP2	0.000987
THBS1---ITGAV	0.000985
ITGA2---LAMC1	0.000983
NRP2---SEMA3F	0.000971
LRP1---SERPINE1	0.000968
LAMC1---ITGA2	0.000923
COL13A1---ITGA2	0.000896
KDR---PGF	0.000896
IL6ST---IL11	0.000893
ITGAV---COL4A1	0.000799
NAMPT---INSR	0.000793
COL18A1---ITGA2	0.000763
JAG1---NOTCH1	0.000757
CXCL12---CXCR4	0.000742
CALR---ITGAV	0.000692
ITGA5---FN1	0.000675
ITGB1---CXCL12	0.000664
VCAM1---ITGB1	0.000660
ITGA1---COL15A1	0.000638
CXCR4---CXCL12	0.000608
SERPINE1---LRP1	0.000576
ITGA6---THBS1	0.000570
COL6A1---ITGB1	0.000534
PRSS23---TMEM222	0.000517
IGF1R---GNAI2	0.000516
KDR---TIMP3	0.000502
ANGPT2---TEK	0.000501
VIM---CD44	0.000498
COL4A1---ITGAV	0.000498
PDGFB---PDGFRB	0.000460
SEMA3G---NRP2	0.000458
COL27A1---ITGB1	0.000452
ITGA1---COL6A2	0.000445
CAV1---APP	0.000434
TGFB3---ENG	0.000413
JAG1---NOTCH4	0.000407
FBN1---ITGA5	0.000396
NRP1---VEGFA	0.000384
TEK---ANGPT2	0.000365
CXCL12---ACKR3	0.000357
COL6A2---ITGA1	0.000348
NRP2---PGF	0.000347
NRP2---SEMA3G	0.000343
ITGB1---FN1	0.000334
FLT1---VEGFB	0.000322
ITGA1---COL18A1	0.000317
TIMP3---KDR	0.000310
VEGFB---FLT1	0.000306
COL13A1---ITGA1	0.000303
ENG---TGFB3	0.000295
TGM2---ITGB1	0.000289
COL1A1---CD93	0.000288
BDKRB2---ACE	0.000288
ITGB1---COL3A1	0.000287
LAMC1---ITGAV	0.000270
ITGA5---ADAM17	0.000269
FN1---ITGA5	0.000263
SEMA3F---NRP1	0.000262
CALR---ITGA3	0.000257
ITGB1---COL1A1	0.000252
COL6A1---ITGA2	0.000247
ITGB1---SEMA7A	0.000246
FLT1---PIGF	0.000243
COL1A1---ITGA5	0.000243
NRP1---SEMA3F	0.000242
MIF---TNFRSF14	0.000236
THBS1---ITGA3	0.000233
ITGA2---COL27A1	0.000232
CD46---JAG1	0.000230
COL18A1---ITGA1	0.000215
ITGA2---COL1A1	0.000211
CXCL12---ITGB1	0.000198
GNAI2---IGF1R	0.000192
APP---CAV1	0.000192
COL3A1---ITGB1	0.000191
ITGB1---COL6A3	0.000181
LAMB1---ITGB1	0.000180
INSR---IGF2	0.000180
PLAU---IGF2R	0.000173
NRP1---PGF	0.000168
CYR61---ITGA5	0.000168
PGF---NRP1	0.000167
ITGA1---COL6A1	0.000165
COL27A1---ITGA2	0.000165
CTGF---ITGA5	0.000162
IGF1R---INS	0.000148
CAV1---GNAI2	0.000148
THBS1---ITGA2B	0.000147
THBS1---LRP1	0.000147
PIGF---FLT1	0.000146
CD9---HBEGF	0.000142
ITGA2---COL6A3	0.000142
COL4A2---CD93	0.000138
ITGA2---COL3A1	0.000125
ITGA5---FBN1	0.000118
ITGAV---VWF	0.000118
ITGB1---TGM2	0.000110
CD44---VIM	0.000108
CD44---MMP1	0.000107
ITGB1---COL27A1	0.000106
TIMP2---ITGB1	0.000105
ITGA5---CYR61	0.000102
ITGA1---COL27A1	0.000099
THBS1---LRP5	0.000099
LAMC1---ITGA6	0.000096
VEGFA---NRP1	0.000092
ADAM15---ITGA5	0.000090
IL6ST---LIF	0.000089
ACE---BDKRB2	0.000089
SCARF1---CALR	0.000086
FN1---ITGB1	0.000085
IGF2R---PLAU	0.000084
JAG1---CD46	0.000083
ADAM9---ITGB1	0.000081
IL6ST---IL6	0.000080
ITGB1---PLAUR	0.000080
ADAM17---ITGA5	0.000077
TNFRSF1A---GRN	0.000076
ITGB1---ADAM17	0.000076
FGF2---FGFR1	0.000076
NID1---COL13A1	0.000072
COL3A1---ITGA2	0.000068
ITGA5---CTGF	0.000068
TNFRSF1B---GRN	0.000067
ITGA3---THBS1	0.000064
JAG1---NOTCH3	0.000062
ITGA3---CALR	0.000061
ITGA2---FN1	0.000060
ADAM15---ITGB1	0.000058
GRN---TNFRSF1B	0.000058
CALCRL---ADM	0.000057
COL13A1---FN1	0.000056
TNFRSF14---MIF	0.000055
TGFB1---ACVRL1	0.000052
ITGA5---ADAM15	0.000051
ADAM17---ITGB1	0.000050
IL11---IL6ST	0.000044
PLAUR---ITGB1	0.000039
ITGA5---SPP1	0.000034
ADM---RAMP2	0.000016

exocrine---endocrine	q-value: 0.66866

Ligand---Receptor	contribution
INSR---INS	0.364418
DDR1---TTR	0.148712
CD63---TIMP1	0.070453
IGF1R---INS	0.046934
ITGB1---SPP1	0.033419
IDE---INS	0.019438
TIMP1---CD63	0.019357
SST---SSTR2	0.018143
SST---SSTR1	0.014509
CD44---SPP1	0.014003
LAMC2---ITGB1	0.012317
ITGB1---TGM2	0.010490
SST---SSTR3	0.009898
CD44---VIM	0.009475
HLA-B---CANX	0.009058
IDE---GCG	0.008883
APLP2---HLA-A	0.006777
CDH1---ITGB1	0.005863
PLAUR---ITGB1	0.005645
ITGA5---SPP1	0.005250
HLA-A---APLP2	0.005093
SSTR2---SST	0.003828
TGM2---ITGB1	0.003613
SDC4---TGM2	0.003450
CANX---HLA-B	0.003341
ITGB1---LGALS3BP	0.003202
SEMA7A---ITGB1	0.002763
AGER---TTR	0.002525
ITGB1---CDH1	0.002299
TTR---DDR1	0.002242
ITGAV---SPP1	0.002239
ITGB1---LAMC2	0.002088
SPP1---ITGB1	0.002021
INS---IGF1R	0.001925
ADORA1---GNAS	0.001897
MMP7---CD44	0.001585
ITGB1---PLAUR	0.001585
LIF---IL6ST	0.001543
MMP7---CD151	0.001423
INSR---ARF1	0.001368
ADAM9---ITGB1	0.001335
ITGA3---CALR	0.001264
VCAM1---ITGB1	0.001246
ITGB1---TIMP2	0.001163
INS---IDE	0.001030
DPP4---GCG	0.001021
IDE---IAPP	0.001001
INS---INSR	0.000959
ITGB1---ADAM9	0.000945
SDC4---MDK	0.000919
COL18A1---ITGB1	0.000907
ITGB1---FGB	0.000900
LGALS3BP---ITGB1	0.000889
ITGB1---CD14	0.000877
CD44---MMP1	0.000866
TNC---ITGB1	0.000849
ST14---PLAU	0.000808
ITGB1---ADAM17	0.000756
INSR---IGF2	0.000735
ITGB1---COL27A1	0.000721
ITGB1---LAMC1	0.000710
FGF2---FGFR1	0.000696
CFTR---HSP90AA1	0.000647
ITGA2---CDH1	0.000638
SPINT1---ST14	0.000604
TNFRSF14---MIF	0.000604
PLAU---PLAUR	0.000596
GRN---TNFRSF1A	0.000577
PLAUR---PLAU	0.000551
CDH1---IGF1R	0.000529
TNFRSF21---APP	0.000507
IL6ST---LIF	0.000506
ST14---SPINT1	0.000464
ALB---B2M	0.000442
RAMP1---IAPP	0.000422
HSPG2---ITGB1	0.000420
IGF2R---IGF2	0.000406
ITGB1---COL6A1	0.000381
PLAU---ST14	0.000372
LAMC1---ITGB1	0.000368
TNFRSF1A---GRN	0.000360
LDLR---LRPAP1	0.000350
CDH1---ITGA2	0.000343
LAMC2---ITGA3	0.000338
NAMPT---INSR	0.000308
CAV1---GNAI2	0.000300
ITGB1---NPNT	0.000291
ITGB1---ADAM15	0.000290
CD44---MMP9	0.000283
ERBB2---HLA-A	0.000282
CDH1---PTPRF	0.000279
IL6ST---IL11	0.000272
VIM---CD44	0.000271
LAMB2---RPSA	0.000264
TNFRSF10D---MIF	0.000251
INSR---NAMPT	0.000248
ITGB1---L1CAM	0.000238
ARF1---INSR	0.000229
SPP1---CD44	0.000226
GNAS---GCGR	0.000217
GCG---DPP4	0.000216
TIMP2---ITGB1	0.000214
CALR---ITGAV	0.000211
ADAM15---ITGB1	0.000210
EPHB2---VEGFA	0.000206
CYR61---ITGAV	0.000203
COL1A1---ITGB1	0.000202
THBS1---ITGB1	0.000192
ITGA2---MMP1	0.000191
MMP7---ERBB4	0.000190
ITGB1---COL9A2	0.000188
GRN---SORT1	0.000178
CDH1---ITGAE	0.000176
ITGA3---LAMC2	0.000170
ITGA2---LAMC1	0.000165
ITGA3---TIMP2	0.000161
GNAI2---IGF1R	0.000159
ITGB1---LAMB1	0.000159
FGF2---CD44	0.000157
ITGAV---CALR	0.000155
REN---ATP6AP2	0.000152
LAMB1---ITGB1	0.000141
TNFSF10---TNFRSF10B	0.000140
ACVR2A---INHBA	0.000136
ADAM17---ITGB1	0.000136
SPP1---ITGAV	0.000135
EPHB2---EFNB1	0.000129
EPHB2---MMP9	0.000129
ITGA2---COL27A1	0.000127
IGF2R---PLAU	0.000125
LCN2---LRP2	0.000124
COL6A3---ITGB1	0.000121
NPNT---ITGB1	0.000117
FGF2---SDC2	0.000116
INS---LRP2	0.000116
TRAF2---GSTP1	0.000110
GSTP1---TRAF2	0.000099
SDC1---HMGB1	0.000099
CD44---HBEGF	0.000095
ITGA5---ADAM17	0.000090
TSPAN1---MDK	0.000088
MIF---TNFRSF14	0.000087
COL6A2---ITGB1	0.000086
RTN4---TNFRSF19	0.000086
C3---CD46	0.000085
ITGA6---LAMC2	0.000085
BAMBI---INHBA	0.000084
APP---NCSTN	0.000081
TNFRSF12A---TNFSF12	0.000079
CD14---ITGB1	0.000076
ITGA2---COL6A1	0.000072
ITGB1---COL18A1	0.000071
ITGB1---COL5A1	0.000069
COL1A1---DDR1	0.000068
CYR61---ITGB5	0.000066
PLAU---IGF2R	0.000064
GPR37---PSAP	0.000062
TNFSF10---TNFRSF11B	0.000062
CCL2---CCR10	0.000061
CD74---APP	0.000061
LRPAP1---SORT1	0.000059
ITGA2---COL5A1	0.000058
SDC1---MDK	0.000056
COL1A2---ITGB1	0.000054
APP---TNFRSF21	0.000052
COL6A3---ITGA2	0.000051
ITGB1---COL22A1	0.000051
FGF2---NRP1	0.000051
NCSTN---APP	0.000050
ACVR1---INHBA	0.000049
IL1RN---IL1R1	0.000048
CAV1---PTGS2	0.000048
NOTCH2---DLK1	0.000048
IGF1R---IGF2	0.000047
SORT1---GRN	0.000041
ITGAV---EDIL3	0.000040
AMFR---GPI	0.000039
PLAUR---ITGAV	0.000039
GPC1---APP	0.000038
NOTCH3---DLK1	0.000038
EGFR---HSP90AA1	0.000035
CSF2---SDC2	0.000033
ITGB1---FBN1	0.000032
TNF---TNFRSF1A	0.000032
ACVR2A---GDF11	0.000032
CDH1---PTPRM	0.000031
LAMA3---ITGB1	0.000031
GCGR---GNAS	0.000030
EFNA1---EPHA2	0.000030
THBS1---TNFRSF11B	0.000028
ITGA5---FGB	0.000028
FGF2---ITGAV	0.000027
ITGA6---ADAM9	0.000027
TNFRSF1B---GRN	0.000026
TNFSF10---RIPK1	0.000026
F11R---CGN	0.000026
PDGFRB---PDAP1	0.000026
COL3A1---ITGB1	0.000025
APP---CD74	0.000025
VEGFA---GPC1	0.000025
LTB---TNFRSF1A	0.000024
AZGP1---ITGAV	0.000024
LIFR---LIF	0.000024
EGFR---GNAI2	0.000023
PTPRF---CDH1	0.000023
IL11---IL6ST	0.000023
COL4A1---ITGB1	0.000023
ITGB1---COL5A2	0.000022
NRP1---VEGFB	0.000021
COL6A2---ITGA2	0.000020
IL10RB---UCN3	0.000020
SEMA7A---ITGA1	0.000020
THBS1---CD47	0.000020
ITGA2---COL18A1	0.000019
EPHB4---EFNB1	0.000019
ITGA6---NRG1	0.000019
COPA---SORT1	0.000019
VEGFA---NRP1	0.000019
COL5A3---ITGB1	0.000018
HSP90AA1---CFTR	0.000018
LRPAP1---SORL1	0.000018
SERPINA1---LRP1	0.000017
CD44---FGF2	0.000017
INSR---HRAS	0.000017
F3---F10	0.000017
ITGB1---COL6A2	0.000017
IAPP---IDE	0.000017
SPINK1---NRSN1	0.000017
ARF1---PLD2	0.000016
GAS6---TYRO3	0.000016
ARF1---CHRM3	0.000016
SIRPA---CD47	0.000015
VEGFA---EPHB2	0.000015
SEMA4C---PLXNB2	0.000014
EPHB2---EFNB3	0.000014
LTB---CD40	0.000014
HMGB1---SDC1	0.000014
COL6A1---ITGB1	0.000013
F11R---MLLT4	0.000013
PVRL1---MLLT4	0.000013
CLDN4---SHBG	0.000013
COL1A2---CD44	0.000013
INHBA---ACVR1	0.000013
LAMC2---ITGB4	0.000012
EPHB2---MLLT4	0.000012
CALR---ITGA3	0.000012
SEMA4B---DCBLD2	0.000012
IDE---IGF2	0.000011
ADAM9---ITGB5	0.000011
MDK---TSPAN1	0.000011
TNC---CNTN1	0.000011
PVRL2---MLLT4	0.000010
SCTR---ADCYAP1	0.000010
NRP1---VEGFA	0.000009
APP---GPC1	0.000009
CLCF1---IL6ST	0.000009
ITGA2---COL5A2	0.000008
ITGB1---FGA	0.000008
IL1A---IL1R1	0.000008
ITGA6---LAMC1	0.000008
RTN4R---RTN4	0.000008
FGFR3---HSP90AA1	0.000008
ACVR1B---INHBA	0.000008
ITGA3---ADAM9	0.000008
EGFR---SPINK1	0.000007
INHBA---ACVR1C	0.000007
HBEGF---CD44	0.000007
EPHA2---EFNA5	0.000007
SPINK1---EGFR	0.000007
DDR1---COL5A2	0.000007
COL5A1---ITGB1	0.000007
B2M---ALB	0.000006
