B-cell---B-cell	q-value: 1.7699e-08
ITGB2---ICAM1	0.002323
CXCR4---CXCL12	0.001862
VIM---CD44	0.001688
IL10RA---IL10	0.001628
TNFRSF14---MIF	0.001532
IL2RG---ICAM1	0.001374
CD44---FN1	0.001374
TIMP1---CD63	0.000710

NK---NK	q-value: 0.00012693

Ligand---Receptor	contribution
KLRD1---HLA-B	0.168445
KIR3DL1---HLA-B	0.148073
HLA-B---KLRD1	0.117914
HLA-E---KLRC1	0.110196
KLRD1---HLA-E	0.046748
KIR3DL1---HLA-A	0.045631
HLA-E---KLRD1	0.042089
LILRB1---HLA-B	0.038644
HLA-B---CANX	0.028910
CXCR3---CCL5	0.025810
KLRC1---HLA-E	0.019450
KIR2DL1---HLA-C	0.014856
LILRB1---HLA-C	0.013014
LILRB1---HLA-A	0.012052
HLA-C---KIR2DL1	0.010872
CD44---VIM	0.010421
HLA-C---LILRB1	0.009525
CD47---TYROBP	0.009029
KLRC2---HLA-E	0.008728
VIM---CD44	0.006568
LCK---CD8B	0.006118
HLA-B---LILRB1	0.005420
HLA-C---KIR2DL3	0.005040
HLA-A---LILRB1	0.004353
CD244---CD48	0.003550
CLEC2B---KLRF1	0.003467
KLRF1---CLEC2B	0.001787
HLA-A---APLP2	0.001665
HLA-G---KLRC1	0.001313
ICAM3---ITGAL	0.001311
CANX---HLA-B	0.000909
SDC4---CCL5	0.000786

T-cell---B-cell	q-value: 0.36898

Ligand---Receptor	contribution
HLA-B---CANX	0.072609
VIM---CD44	0.066891
HLA-B---LILRB1	0.054396
HLA-A---APLP2	0.044731
CANX---HLA-B	0.040159
HLA-C---LILRB1	0.035488
HLA-A---LILRB1	0.034391
SELPLG---SELL	0.034065
CD2---CD48	0.032678
KLRD1---HLA-B	0.032318
CD52---SIGLEC10	0.030517
APP---CD74	0.029129
HLA-B---KLRD1	0.028521
PTPRC---CD22	0.023317
MIF---TNFRSF14	0.022210
ITGB2---ICAM3	0.020008
TNFRSF14---MIF	0.018611
KLRD1---HLA-E	0.015627
CD44---VIM	0.014680
ITGB2---FCER2	0.014398
CXCR3---CCL5	0.013423
LTB---CD40	0.012062
IL7R---IL7	0.008745
HLA-E---KLRD1	0.007082
LY9---LY9	0.006916
CD97---CD55	0.006801
CCL5---CXCR3	0.006425
KLRC1---HLA-E	0.005951
RPSA---PRND	0.005740
CD4---IL16	0.005676
CD2---CD58	0.005627
CD27---CD70	0.005578
IL2RG---IL7	0.005487
ITGAL---ICAM3	0.004776
SIRPG---CD47	0.003637
BTLA---CD79A	0.003456
KLRC2---HLA-E	0.003427
CXCL13---CXCR5	0.003096
ITGA4---ADAM28	0.002882
CFH---SELL	0.002836
ITGB2---ICAM2	0.002265
TNFRSF1B---GRN	0.002250
CD8B---LCK	0.002179
IL10---IL10RA	0.002166
KLRB1---CLEC2D	0.002127
KLRK1---MICB	0.002085
LAMB2---RPSA	0.002078
CD44---LGALS9	0.002006
TNFRSF14---BTLA	0.001851
LGALS3BP---ITGB1	0.001819
CD8A---LCK	0.001812
CD74---APP	0.001792
SIGLEC10---CD52	0.001741
ICAM2---ITGAL	0.001646
HCST---MICB	0.001570
CD55---CD97	0.001543
SLAMF6---SLAMF6	0.001462
LGALS9---CD44	0.001435
VIPR1---PTMA	0.001413
CCR4---CCL5	0.001320
ICAM2---ITGAM	0.001292
BAG6---NCR3	0.001235
LTA---TNFRSF14	0.001186
CCR5---CCL5	0.001156
LTB---TNFRSF1A	0.001154
CD40LG---CD40	0.001135
GPI---AMFR	0.001105
CD6---ALCAM	0.001105
PTDSS1---JMJD6	0.001077
HAVCR2---LGALS9	0.001052
ITGB1---COL19A1	0.001009
CD22---PTPRC	0.001009
ICAM3---ITGAL	0.001005
FAM3C---CLEC2D	0.000805
ITGB1---ADAM17	0.000804
ICOS---ICOSLG	0.000752
PSEN1---NCSTN	0.000745
CXCL13---CXCR3	0.000738
KCNA3---IL16	0.000731
CXCR6---CXCL16	0.000700
ITGB1---LGALS3BP	0.000655
CHRM3---ARF1	0.000625
CD40LG---ITGB1	0.000620
TRAF2---GSTP1	0.000618
ARF1---CHRM3	0.000591
TNFRSF10B---TNFSF10	0.000576
TNFRSF1A---LTB	0.000549
ADAM28---ITGA4	0.000506
TYROBP---CD47	0.000488
ICAM2---ITGB2	0.000475
PODXL2---SELL	0.000466
ITGB1---COL4A3	0.000454
TSHR---CALR	0.000443
ICAM1---IL2RG	0.000438
TNFSF13B---TNFRSF13B	0.000436
BTLA---TNFRSF14	0.000424
HLA-B---LILRB2	0.000402
CLEC2D---FAM3C	0.000390
ITGB1---ADAM15	0.000388
CDH1---ITGB1	0.000367
TNF---FAS	0.000354
PTGDR---GNAS	0.000323
PRND---RPSA	0.000321
APLP2---HLA-A	0.000312
TNFRSF14---LTA	0.000304
TNFRSF9---TNFSF9	0.000289
HBEGF---CD44	0.000271
CD63---TIMP1	0.000267
CD47---COL4A3	0.000265
APP---NCSTN	0.000264
SCARF1---CALR	0.000259
TNFRSF1B---TNF	0.000252
SELL---PODXL	0.000249
CD40LG---ITGA5	0.000246
ITGB1---SEMA7A	0.000245
HBEGF---CD82	0.000232
CCL20---CCR6	0.000231
RPS19---C5AR1	0.000226
NCSTN---PSEN1	0.000222
TNFRSF10A---TNFSF10	0.000220
ADORA2A---ENTPD1	0.000209
ITGA5---ADAM15	0.000199
ITGB1---COL9A3	0.000197
HCST---MICA	0.000194
PODXL---SELL	0.000189
IL2RG---IL15	0.000185
CD84---CD84	0.000178
PLD2---ARF1	0.000176
TNFRSF14---TNFSF13	0.000169
CD79A---BTLA	0.000166
ITGA5---ADAM17	0.000166
IL16---KCNJ15	0.000161
SEMA4D---CD72	0.000153
GZMB---CHRM3	0.000147
ICAM1---ITGAM	0.000146
DEFB103A---CCR6	0.000136
CD200R1---CD200	0.000133
PLAUR---ITGA4	0.000133
CCL5---CCR5	0.000132
CD55---CR1	0.000132
SLAMF7---SLAMF7	0.000129
IL2RG---ICAM1	0.000126
TNFRSF1B---LTA	0.000126
TSHR---GNAS	0.000117
VCAM1---ITGA4	0.000111
TNF---TNFRSF1B	0.000107
TNFSF13B---CD40	0.000107
CALR---SCARF1	0.000101
CCR5---CCL16	0.000101
CFH---ITGAM	0.000100
COL6A3---ITGB1	0.000099
CELSR1---PSAP	0.000097
ITGAL---ICAM2	0.000096
COL10A1---ITGB1	0.000096
IFNG---IFNGR1	0.000096
VIPR1---GNAS	0.000095
JMJD6---PTDSS1	0.000091
TNFSF14---TNFRSF14	0.000091
ITGA4---JAM2	0.000091
NOTCH2---MFNG	0.000089
ITGAV---CALR	0.000087
TNFSF10---TNFRSF10A	0.000086
COL3A1---ITGB1	0.000085
IL1B---ADRB2	0.000085
CD44---MMP9	0.000084
MFNG---NOTCH1	0.000084
CCR5---GNAI2	0.000080
LAMA2---RPSA	0.000080
TNFSF10---TNFRSF10B	0.000076
TNFRSF1A---GRN	0.000076
TNF---TNFRSF1A	0.000075
AXL---ADAM10	0.000075
ADAM17---ITGB1	0.000074
IL10RB---IL10	0.000073
MFNG---NOTCH2	0.000073
LRP1---CALR	0.000071
CCL20---CXCR3	0.000068
ITGA1---COL19A1	0.000065
TRAF2---TNFSF9	0.000063
LRP1---PSAP	0.000063
ITGAV---FCER2	0.000061
ICAM3---ITGB2	0.000057
PSEN1---NOTCH1	0.000054
NOTCH1---MFNG	0.000051
HTR6---GNAS	0.000051
LTA---TNFRSF1A	0.000045
TNFRSF10D---MIF	0.000045
NOTCH2---PSEN1	0.000045
FASLG---TNFRSF10B	0.000045
JAM2---ITGB1	0.000042
C5AR1---RPS19	0.000040
LILRB1---HLA-B	0.000031
ICAM4---ITGB1	0.000016
ICAM1---ITGB2	0.000012
CD99---PILRA	0.000006

T-cell---CAF	q-value: 0

Ligand---Receptor	contribution
CCR7---CCL21	0.360915
CXCR3---CCL21	0.139925
CCR7---CCL19	0.106884
CXCR4---CXCL12	0.063577
CXCR3---CCL19	0.038508
CD44---VIM	0.022320
ITGB1---COL1A1	0.019519
ITGB1---COL3A1	0.019460
ITGB1---COL1A2	0.019405
CD44---COL1A2	0.013831
CD44---COL1A1	0.013403
ITGB2---CTGF	0.011395
CXCR3---CXCL12	0.009949
ITGB1---PLA2G2A	0.009302
CD44---MMP1	0.009266
ITGB2---CYR61	0.007536
ITGB1---FN1	0.006296
HLA-B---CANX	0.005944
CD44---FN1	0.004508
ITGB2---VCAM1	0.004315
ITGB1---CXCL12	0.004251
CD4---CXCL12	0.003425
HLA-A---APLP2	0.002859
ITGB2---C3	0.002332
ITGB1---COL6A1	0.001676
ITGB1---FBLN1	0.001672
ITGB1---LGALS3BP	0.001629
CD74---APP	0.001447
CANX---HLA-B	0.001143
ITGA5---CTGF	0.001122
CD63---TIMP1	0.001119
ITGB1---VCAM1	0.000998
ITGB2---ICAM1	0.000987
RPSA---LAMB2	0.000971
ITGA4---PLA2G2A	0.000947
ITGA4---FN1	0.000945
ITGB1---COL6A2	0.000937
VIM---CD44	0.000871
ITGB7---FN1	0.000802
ITGB1---THBS1	0.000780
KLRD1---HLA-B	0.000717
CXCR3---CCL5	0.000695
HLA-B---KLRD1	0.000659
IL2RG---ICAM1	0.000549
CD44---HAS2	0.000544
ITGA1---COL3A1	0.000522
ITGB1---VCAN	0.000514
TNFRSF14---MIF	0.000487
ITGB1---TNC	0.000482
CXCR3---CXCL9	0.000469
CCL5---DARC	0.000458
ITGB1---COL6A3	0.000420
ITGB2---THY1	0.000407
TIMP1---CD63	0.000389
CD46---C3	0.000352
ITGB7---VCAM1	0.000319
ITGB1---FBN1	0.000308
SELL---CFH	0.000295
LGALS3BP---ITGB1	0.000287
ITGB1---COL5A2	0.000277
DPP4---CXCL12	0.000266
LTB---LTBR	0.000239
DDR1---COL3A1	0.000238
ITGB2---F10	0.000237
LTB---TNFRSF1A	0.000229
CCR10---CCL19	0.000217
ITGA5---COL1A1	0.000196
ITGA1---COL1A1	0.000192
ITGA4---VCAM1	0.000191
ITGA1---COL1A2	0.000180
ITGA5---CYR61	0.000175
LAMB2---RPSA	0.000166
CCL5---SDC1	0.000159
SORL1---APOE	0.000142
IFNG---IFNGR1	0.000137
CCL5---CXCR3	0.000136
DDR1---COL1A1	0.000127
ITGB1---COL8A1	0.000121
ITGA5---FN1	0.000107
CD44---VCAN	0.000105
ITGB1---PLAUR	0.000095
CXCR4---ZG16B	0.000094
CCR4---CCL5	0.000088
RGMB---NEO1	0.000084
TNFRSF1B---GRN	0.000084
SELL---CD34	0.000082
LTB---CD40	0.000081
CXCR3---CXCL11	0.000066
ITGA4---TNC	0.000062
ITGB1---COL5A1	0.000060
APP---CD74	0.000060
CCRL2---CCL19	0.000048
KLRD1---HLA-E	0.000041
IL7R---IL7	0.000028
KLRC1---HLA-E	0.000027
KLRC2---HLA-E	0.000026
CCR5---CCL5	0.000023
ITGB2---JAM3	0.000023
RPSA---LAMA2	0.000023
IL2RG---IL7	0.000021
MIF---TNFRSF14	0.000021
TNFRSF10B---TNFSF10	0.000019
TNFRSF10A---TNFSF10	0.000012
LEPR---APOD	0.000012
SCGB3A1---MARCO	0.000012
ITGB2---GP1BA	0.000010
CD55---CD97	0.000009
LGALS9---CD44	0.000007
IL2RG---IL15	0.000006
DPP4---CXCL9	0.000006
CD96---PVR	0.000005
ITGB1---TGM2	0.000004
ITGAV---CYR61	0.000004
CHRM3---ARF1	0.000004
TSHR---GNAS	0.000004
ITGAE---CDH1	0.000004
TIGIT---PVR	0.000003
SCGB3A1---FGFR4	0.000003
KLRK1---MICA	0.000003
HMGB1---THBD	0.000003
PLD2---ARF1	0.000002
LRP1---C3	0.000002
VIPR1---PTMA	0.000001
KLRG1---CDH1	0.000001
TGFB3---ENG	0.000001
SLC40A1---CP	0.000001
CD47---THBS1	0.000000
HCST---MICA	0.000000

T-cell---Endothelial	q-value: 0.080684

Ligand---Receptor	contribution
CCL5---DARC	0.349080
CCR7---CCL21	0.225251
CD44---VIM	0.051424
CANX---HLA-B	0.032121
CCR5---CCL14	0.022226
KLRD1---HLA-B	0.021544
CD74---APP	0.020776
HLA-A---APLP2	0.018090
HLA-B---CANX	0.016665
RPSA---LAMB2	0.014312
CXCR3---CCL21	0.008578
KIR3DL1---HLA-B	0.007266
IL2RG---ICAM1	0.006925
ITGB2---ICAM2	0.005526
CXCR4---CXCL12	0.004933
KLRD1---HLA-E	0.004814
KIR3DL1---HLA-A	0.004768
IFNG---IFNGR1	0.004667
APP---CD74	0.004502
TNFRSF14---MIF	0.003828
ITGB2---CYR61	0.003460
SELPLG---SELE	0.003450
APLP2---HLA-A	0.003305
MIF---TNFRSF14	0.003267
CXCR3---CXCL9	0.003007
CD44---SELE	0.002614
ITGAL---ICAM2	0.002553
CXCL1---DARC	0.002392
SELL---PODXL	0.002237
TNFRSF1B---GRN	0.002089
ITGB1---COL15A1	0.001991
APP---CAV1	0.001915
KIR2DL1---HLA-C	0.001889
ITGB1---FN1	0.001854
KLRC1---HLA-E	0.001849
CCR5---CCL2	0.001806
ITGB2---THY1	0.001763
ITGB2---ICAM1	0.001733
SELL---CD34	0.001722
ITGB1---THBS1	0.001538
CD2---CD58	0.001421
CCR1---CCL14	0.001361
ITGB1---TGM2	0.001279
CD44---FN1	0.001228
KLRC2---HLA-E	0.001203
ITGB2---HP	0.001183
CD63---TIMP1	0.001183
LGALS3BP---ITGB1	0.001147
ITGB1---LAMB1	0.001138
CD177---PECAM1	0.001092
LTB---CD40	0.001036
IL2RA---ICAM1	0.000986
LTB---TNFRSF1A	0.000834
ITGB1---COL4A2	0.000813
KIR2DL3---HLA-C	0.000767
CD44---LGALS9	0.000586
HLA-B---KLRD1	0.000580
ITGB2---CTGF	0.000558
KIR3DL2---HLA-A	0.000545
ITGB2---VCAM1	0.000482
CCR2---CCL8	0.000469
FASLG---TNFRSF6B	0.000454
HMGB1---THBD	0.000446
CCR2---CCL2	0.000438
IFNG---IFNGR2	0.000431
ITGB1---COL12A1	0.000407
ITGAL---ICAM1	0.000387
PTPRC---MRC1	0.000387
CCR4---CCL2	0.000386
ITGB1---ADAM15	0.000348
KLRK1---MICA	0.000346
ARF1---PLD2	0.000342
ITGA5---CYR61	0.000340
HAVCR2---LGALS9	0.000334
ADM---RAMP2	0.000314
EPHA1---EFNA1	0.000282
ARF1---CHRM3	0.000268
LILRB1---HLA-B	0.000232
NCSTN---APP	0.000228
ANXA1---DYSF	0.000203
ITGA4---THBS1	0.000192
KLRK1---MICB	0.000188
KLRK1---RAET1G	0.000173
TGFB3---ENG	0.000164
GLG1---SELE	0.000157
FASLG---TNFRSF1A	0.000132
LRP1---TFPI	0.000132
LILRB1---HLA-A	0.000129
HBEGF---CD9	0.000127
CD38---PECAM1	0.000114
HCST---RAET1G	0.000091
LILRB1---HLA-C	0.000088
CXCR3---CXCL11	0.000084
TNFRSF10B---TNFSF10	0.000074
LTB---LTBR	0.000072
IAPP---RAMP2	0.000069
ITGB1---CD14	0.000045
TNFRSF10A---TNFSF10	0.000038
BTLA---TNFRSF14	0.000034
VIPR1---PTMA	0.000031
HCST---MICB	0.000025
CD96---PVR	0.000023
ITGA4---CD14	0.000021
CD97---CD55	0.000015
CD44---HBEGF	0.000009

T-cell---Macrophage	q-value: 0.013959

Ligand---Receptor	contribution
ITGB1---SPP1	0.153956
CD44---SPP1	0.139616
ITGA4---SPP1	0.036229
HLA-B---LILRB1	0.034407
HLA-B---LILRB2	0.033686
CXCR3---CXCL10	0.027373
HLA-A---LILRB1	0.023669
HLA-A---LILRB2	0.022850
APP---CD74	0.020404
ITGB1---CD14	0.020206
HLA-C---LILRB2	0.016919
CCL5---CCR1	0.016750
HLA-C---LILRB1	0.015963
S1PR1---SPP1	0.015869
HLA-C---LILRA3	0.014729
CANX---HLA-B	0.014552
HLA-B---CANX	0.014485
KLRD1---HLA-B	0.014323
CD44---VIM	0.013576
HLA-A---APLP2	0.011429
ITGB1---PLAUR	0.009362
CCL4---CCR1	0.007254
IL2RG---ICAM1	0.006546
CD63---TIMP1	0.006400
ITGB2---ICAM1	0.004848
ITGB1---THBS1	0.004678
ITGA5---SPP1	0.004205
CCR5---CCL2	0.003728
CCR5---CCL3	0.003715
DARC---IL8	0.003619
CD47---TYROBP	0.003114
RPS19---C5AR1	0.002981
KIR3DL1---HLA-B	0.002705
TNFRSF1B---GRN	0.002639
SDC4---CXCL10	0.002542
ICAM2---ITGB2	0.002500
CXCR4---CXCL12	0.002420
TNFRSF14---MIF	0.002378
ICAM3---ITGB2	0.002243
CCR5---CCL8	0.002231
CCL5---CCR5	0.002120
IL10RA---IL10	0.002090
ITGB1---VCAN	0.002059
ITGA4---CD14	0.001932
KLRD1---HLA-E	0.001906
KIR3DL1---HLA-A	0.001887
IL1R2---IL1B	0.001788
IFNG---IFNGR1	0.001764
ITGB1---FN1	0.001738
CCR2---CCL2	0.001602
APLP2---HLA-A	0.001598
CCL5---SDC4	0.001579
KLRC1---HLA-E	0.001521
DPP4---CXCL10	0.001405
CCL4---CCR5	0.001403
CD44---FN1	0.001384
ITGB1---LGALS3BP	0.001359
CCR2---CCL8	0.001149
DARC---CXCL1	0.001114
IFNG---IFNGR2	0.001018
ANXA1---FPR1	0.000991
IL10---IL10RB	0.000859
ANXA1---FPR3	0.000859
VIM---CD44	0.000840
VCAM1---ITGB2	0.000825
KIR3DL2---HLA-A	0.000810
CD74---APP	0.000794
ITGB1---F13A1	0.000754
CCR4---CCL3	0.000727
KIR2DL1---HLA-C	0.000702
ITGB2---C3	0.000646
IL10---IL10RA	0.000637
SELL---SELPLG	0.000582
ADORA2A---NAMPT	0.000556
CCR5---CCL4	0.000542
CCL3---CCR1	0.000499
IL10RB---IL10	0.000432
DARC---CXCL5	0.000419
TNFRSF14---TNFSF13	0.000404
CD44---VCAN	0.000350
ITGAL---ICAM1	0.000329
CCR4---CCL2	0.000309
IL1R1---IL1B	0.000291
CXCR3---CXCL11	0.000287
CD99---PILRA	0.000274
KLRC2---HLA-E	0.000270
SPN---ICAM1	0.000259
CXCR6---CXCL16	0.000257
CCR5---CCL3L1	0.000253
ITGA4---PLAUR	0.000236
MIF---TNFRSF14	0.000233
DPP4---CXCL2	0.000231
IL1RAP---IL1B	0.000230
IL2RA---ICAM1	0.000223
CD52---SIGLEC10	0.000210
LRP1---C1QB	0.000207
ITGB1---CXCL12	0.000203
CD44---LGALS9	0.000181
CELSR1---PSAP	0.000180
ITGA4---THBS1	0.000164
GRN---TNFRSF1B	0.000153
CCR5---CCL3L3	0.000150
TNFRSF1A---GRN	0.000145
SORL1---APOE	0.000140
LRP1---PSAP	0.000117
CD2---CD48	0.000114
CD44---MMP1	0.000109
LAMB2---RPSA	0.000108
ANXA1---FPR2	0.000094
IL1RAP---IL1RN	0.000083
LTB---CD40	0.000072
ITGA4---FN1	0.000042
CD28---CD86	0.000040
CD2---CD58	0.000030

T-cell---NK	q-value: 0

Ligand---Receptor	contribution
HLA-B---KLRD1	0.163816
HLA-E---KLRC1	0.057994
KLRD1---HLA-B	0.049393
CXCR3---CCL5	0.046787
HLA-E---KLRD1	0.046466
HLA-B---KIR3DL1	0.038116
CANX---HLA-B	0.036315
HLA-A---KIR3DL1	0.027631
CCL5---CXCR3	0.024416
CCR5---CCL4	0.024218
CCR5---CCL5	0.023206
HLA-B---LILRB1	0.023206
CD2---CD48	0.020334
KLRD1---HLA-E	0.018666
HLA-B---CANX	0.018095
HLA-A---LILRB1	0.018059
CCR5---CCL3	0.016609
VIM---CD44	0.015208
HLA-C---KIR2DL1	0.014569
CD8A---LCK	0.014044
HLA-C---LILRB1	0.012618
CCR4---CCL5	0.011162
CD44---VIM	0.010981
KLRC1---HLA-E	0.009401
CCL5---CCR1	0.009312
CLEC2D---KLRB1	0.009155
CD97---CD55	0.008806
HLA-A---APLP2	0.008792
CD8B---LCK	0.006855
KLRC2---HLA-E	0.006638
KIR3DL1---HLA-B	0.006121
CCR4---CCL3	0.004948
ITGB2---ICAM3	0.004937
HLA-C---KIR2DL3	0.004053
CXCL13---CXCR3	0.003534
TNFRSF14---MIF	0.003492
SDC4---CCL5	0.003367
CCR8---CCL4	0.003193
ICAM3---ITGB2	0.003163
KIR3DL1---HLA-A	0.002985
DARC---CCL5	0.002870
SELPLG---SELL	0.002841
LCK---CD8B	0.002716
CXCR3---CCL21	0.002519
APLP2---HLA-A	0.002261
KIR3DL2---HLA-A	0.002260
SELL---SELPLG	0.002145
CD2---CD58	0.001983
KIR2DL1---HLA-C	0.001878
MICA---KLRK1	0.001807
HLA-C---KIR2DS4	0.001564
IL10---IL10RA	0.001413
CD47---TYROBP	0.001394
FAS---FASLG	0.001344
IFNG---IFNGR1	0.001299
CCR1---CCL5	0.001298
TNFRSF14---CD160	0.001178
CHRM3---GZMB	0.001146
CCR7---CCL21	0.001122
VCAM1---ITGB2	0.001043
CD63---TIMP1	0.001040
MIF---TNFRSF14	0.000994
ICAM3---ITGAL	0.000991
SIRPG---CD47	0.000939
CLEC2B---KLRF1	0.000862
HCST---MICB	0.000851
KLRK1---MICB	0.000834
HLA-E---KLRC2	0.000822
ICAM1---IL2RG	0.000798
LILRB1---HLA-B	0.000793
CCR1---CCL3	0.000782
KIR2DL3---HLA-C	0.000763
CHRM3---ARF1	0.000729
CCL4---CCR1	0.000645
IDE---CCL3	0.000640
HLA-A---ERBB2	0.000639
MICA---HCST	0.000598
LGALS9---CD44	0.000592
CD48---CD2	0.000587
LGALS3BP---ITGB1	0.000569
ICAM2---ITGB2	0.000557
PLD2---ARF1	0.000549
CCR1---CCL4	0.000537
ITGB2---ICAM2	0.000465
IGF2R---GZMB	0.000457
ITGAL---ICAM3	0.000451
CD48---CD244	0.000441
TIMP1---CD63	0.000411
KIR2DS4---HLA-C	0.000378
CCL3---CCR1	0.000371
CD244---CD48	0.000343
GNAS---PTGDR	0.000336
GZMB---IGF2R	0.000321
TNFRSF1B---GRN	0.000311
LILRB1---HLA-C	0.000301
CCL3---IDE	0.000297
CCL5---SDC4	0.000283
CCL5---CCR5	0.000276
APP---CD74	0.000265
LCK---CD8A	0.000252
TRAF2---GSTP1	0.000252
IL10RA---IL10	0.000251
CD58---CD2	0.000251
JMJD6---PTDSS1	0.000238
LILRB1---HLA-A	0.000217
HLA-G---KLRC1	0.000216
TNFRSF10B---FASLG	0.000207
CD55---CD97	0.000207
TNFRSF1A---FASLG	0.000172
ICAM2---ITGAL	0.000170
MICB---KLRK1	0.000158
VCAM1---ITGB1	0.000141
ADAM28---ITGA4	0.000131
CCR5---CCL3L3	0.000131
CDH1---KLRG1	0.000127
TRAF2---C5orf55	0.000117
CD4---IL16	0.000110
TNFRSF14---TNFSF14	0.000106
VIPR1---PTMA	0.000103
CRTAM---CADM1	0.000093
MICB---HCST	0.000091
SLAMF1---SLAMF1	0.000085
ITGB1---CD40LG	0.000084
ERBB2---HLA-A	0.000078
SLAMF7---SLAMF7	0.000070
PSAP---CELSR1	0.000068
CD84---CD84	0.000062
IL2RG---IL15	0.000056
ULBP2---KLRK1	0.000050
ITGA4---ADAM28	0.000037
CEL---CXCR4	0.000035
GNAI2---F2R	0.000021

T-cell---T-cell	q-value: 0

Ligand---Receptor	contribution
CCL5---CXCR3	0.051801
HLA-B---KLRD1	0.050619
KLRD1---HLA-B	0.041152
CANX---HLA-B	0.039826
CXCR3---CCL5	0.037962
HLA-B---CANX	0.037791
CD8A---LCK	0.037005
CD2---CD48	0.035671
CCL4---CCR5	0.032967
LCK---CD8A	0.030715
CCL5---CCR5	0.030093
CD48---CD2	0.025899
CD44---VIM	0.024060
CD8B---LCK	0.023686
CCR5---CCL4	0.023178
CCR5---CCL5	0.021088
VIM---CD44	0.020284
CCL4---CCR8	0.017197
CCL5---CCR4	0.015384
LCK---CD8B	0.014320
HLA-E---KLRD1	0.014304
CXCL13---CXCR3	0.010987
SELPLG---SELL	0.010862
KLRD1---HLA-E	0.010433
SELL---SELPLG	0.009664
TNFRSF14---MIF	0.009611
CCR4---CCL5	0.008114
HLA-E---KLRC1	0.007937
CXCR3---CXCL13	0.007568
MIF---TNFRSF14	0.007397
KLRC1---HLA-E	0.006814
KLRC2---HLA-E	0.006535
CCL3---CCR5	0.005961
ICAM2---ITGB2	0.005550
ITGB2---ICAM3	0.005133
HLA-B---KIR3DL1	0.004967
CCR5---CCL3	0.004438
ICAM3---ITGB2	0.004398
CCR8---CCL4	0.004360
APLP2---HLA-A	0.004307
CCL4---CCR1	0.004218
HLA-A---APLP2	0.004154
HLA-A---KIR3DL1	0.003874
CCL5---CCR1	0.003819
CCL5---SDC4	0.003621
SDC4---CCL5	0.003486
CCR1---CCL4	0.003475
CD2---CD58	0.002855
DARC---CCL5	0.002842
CD58---CD2	0.002826
HLA-E---KLRC2	0.002803
CCR1---CCL5	0.002661
SLAMF6---SLAMF6	0.002586
CCL3---CCR4	0.002127
ITGB2---ICAM2	0.001918
IL16---CD4	0.001709
LY9---LY9	0.001699
ICAM2---ITGAL	0.001484
IL10RA---IL10	0.001456
CLEC2D---KLRB1	0.001432
IL21---IL2RG	0.001413
CXCL13---CXCR5	0.001402
CD55---CD97	0.001341
HLA-C---KIR2DL1	0.001306
MICA---KLRK1	0.001277
CFH---SELL	0.001206
KIR3DL1---HLA-B	0.001185
ITGB2---VCAM1	0.001106
CD47---SIRPG	0.001077
HLA-A---KIR3DL2	0.001068
CCL3L3---CCR5	0.001042
ITGAL---ICAM3	0.001024
APP---CD74	0.000910
CXCR5---CXCL13	0.000879
CCL3---CCR1	0.000861
CD97---CD55	0.000857
ICAM3---ITGAL	0.000840
MICA---HCST	0.000839
IL10---IL10RA	0.000837
LAMB2---RPSA	0.000836
VIPR1---PTMA	0.000784
ICAM1---IL2RG	0.000782
KLRB1---CLEC2D	0.000781
LGALS9---CD44	0.000762
ITGAL---ICAM2	0.000720
ITGB1---LGALS3BP	0.000710
KIR3DL1---HLA-A	0.000702
IL2RG---ICAM1	0.000690
CCR4---CCL3	0.000688
TNFRSF1B---TNF	0.000682
CD52---SIGLEC10	0.000677
CD63---TIMP1	0.000672
KLRK1---MICA	0.000661
VCAM1---ITGB2	0.000624
CD4---IL16	0.000620
CCL3---IDE	0.000619
PTPRC---CD22	0.000610
LGALS9---HAVCR2	0.000596
CCR1---CCL3	0.000594
RPSA---PRND	0.000586
LILRB1---HLA-B	0.000558
SIRPG---CD47	0.000528
TIMP1---CD63	0.000526
FAM3C---CLEC2D	0.000520
SIGLEC10---CD52	0.000520
GRN---TNFRSF1B	0.000509
CD44---LGALS9	0.000502
CCR5---CCL3L1	0.000478
HLA-C---KIR2DL3	0.000473
IDE---CCL3	0.000469
IFNG---IFNGR1	0.000459
HLA-B---LILRB1	0.000449
CCR5---CCL3L3	0.000436
TNFRSF1B---GRN	0.000415
CXCR3---CCL20	0.000404
LTA---TNFRSF1B	0.000397
CD74---APP	0.000396
HCST---MICA	0.000388
CXCL10---CXCR3	0.000385
ARF1---PLD2	0.000374
CD22---PTPRC	0.000346
IL2RG---IL21	0.000346
FASLG---FAS	0.000341
ITGB1---CD40LG	0.000324
LILRB1---HLA-A	0.000324
GSTP1---TRAF2	0.000323
TNF---TNFRSF1B	0.000294
ARF1---CHRM3	0.000291
GZMB---CHRM3	0.000284
CCL22---CCR4	0.000282
HAVCR2---LGALS9	0.000278
SELL---PODXL2	0.000276
TNFRSF14---LTA	0.000273
ITGB2---ICAM1	0.000265
LTA---TNFRSF14	0.000242
TNFRSF1B---LTA	0.000241
ICAM1---ITGB2	0.000239
TNFRSF1A---LTB	0.000235
IFNGR1---IFNG	0.000234
FASLG---TNFRSF1A	0.000234
PRND---RPSA	0.000233
GPR75---CCL5	0.000230
MICB---KLRK1	0.000226
TNFSF4---TNFRSF4	0.000220
RPSA---LAMB2	0.000216
